Date,USDX_Close
9/10/15,95.459999
9/11/15,95.190002
9/13/15,null
9/14/15,95.25
9/15/15,95.610001
9/16/15,95.419998
9/17/15,94.550003
9/18/15,94.860001
9/20/15,null
9/21/15,95.889999
9/22/15,96.279999
9/23/15,96.07
9/24/15,95.989998
9/25/15,96.269997
9/27/15,null
9/28/15,96.029999
9/29/15,95.889999
9/30/15,96.349998
10/1/15,96.190002
10/2/15,95.830002
10/4/15,null
10/5/15,96.110001
10/6/15,95.459999
10/7/15,95.5
10/8/15,95.32
10/9/15,94.809998
10/11/15,null
10/12/15,94.839996
10/13/15,94.760002
10/14/15,93.93
10/15/15,94.370003
10/16/15,94.540001
10/18/15,null
10/19/15,94.959999
10/20/15,94.849998
10/21/15,95.050003
10/22/15,96.339996
10/23/15,97.07
10/25/15,null
10/26/15,96.860001
10/27/15,96.910004
10/28/15,97.779999
10/29/15,97.279999
10/30/15,96.949997
11/1/15,null
11/2/15,96.93
11/3/15,97.160004
11/4/15,97.949997
11/5/15,97.940002
11/6/15,99.160004
11/8/15,null
11/9/15,98.980003
11/10/15,99.290001
11/11/15,99.010002
11/12/15,98.650002
11/13/15,98.989998
11/15/15,null
11/16/15,99.440002
11/17/15,99.629997
11/18/15,99.650002
11/19/15,98.989998
11/20/15,99.57
11/22/15,null
11/23/15,99.800003
11/24/15,99.529999
11/25/15,99.800003
11/27/15,100.019997
11/29/15,null
11/30/15,100.169998
12/1/15,99.800003
12/2/15,99.989998
12/3/15,97.620003
12/4/15,98.349998
12/6/15,null
12/7/15,98.660004
12/8/15,98.470001
12/9/15,97.349998
12/10/15,97.940002
12/11/15,97.57
12/13/15,null
12/14/15,97.599998
12/15/15,98.220001
12/16/15,97.870003
12/17/15,99.269997
12/18/15,98.699997
12/20/15,null
12/21/15,98.459999
12/22/15,98.239998
12/23/15,98.339996
12/24/15,97.980003
12/27/15,null
12/28/15,97.919998
12/29/15,98.099998
12/30/15,98.269997
12/31/15,98.629997
1/3/16,null
1/4/16,98.870003
1/5/16,99.400002
1/6/16,99.18
1/7/16,98.220001
1/8/16,98.540001
1/10/16,null
1/11/16,98.730003
1/12/16,98.970001
1/13/16,98.93
1/14/16,99.089996
1/15/16,98.959999
1/17/16,null
1/18/16,99.120003
1/19/16,98.989998
1/20/16,99.089996
1/21/16,99.059998
1/22/16,99.57
1/24/16,null
1/25/16,99.360001
1/26/16,99.360001
1/27/16,98.900002
1/28/16,98.510002
1/29/16,99.610001
1/31/16,null
2/1/16,99
2/2/16,98.870003
2/3/16,97.290001
2/4/16,96.470001
2/5/16,97.029999
2/7/16,null
2/8/16,96.57
2/9/16,96.07
2/10/16,95.889999
2/11/16,95.559998
2/12/16,95.980003
2/14/16,null
2/15/16,96.699997
2/16/16,96.870003
2/17/16,96.790001
2/18/16,96.949997
2/19/16,96.599998
2/21/16,null
2/22/16,97.379997
2/23/16,97.480003
2/24/16,97.459999
2/25/16,97.290001
2/26/16,98.150002
2/28/16,null
2/29/16,98.209999
3/1/16,98.349998
3/2/16,98.209999
3/3/16,97.57
3/4/16,97.339996
3/6/16,null
3/7/16,97.07
3/8/16,97.209999
3/9/16,97.169998
3/10/16,96.07
3/11/16,96.169998
3/13/16,null
3/14/16,96.620003
3/15/16,96.629997
3/16/16,95.889999
3/17/16,94.760002
3/18/16,94.989998
3/20/16,null
3/21/16,95.290001
3/22/16,95.650002
3/23/16,96.050003
