date,mktrf,smb,hml,umd
20180601,0.010600,-0.002300,-0.001100,0.005800
20180604,0.004800,0.001500,-0.004400,0.001700
20180605,0.001600,0.008200,-0.004200,0.002900
20180606,0.008600,-0.003500,0.002000,0.000000
20180607,-0.001400,-0.003000,0.009200,-0.009200
20180608,0.003100,0.000900,-0.004000,-0.001400
20180611,0.001200,0.001700,-0.001600,-0.006300
20180612,0.002300,0.002400,-0.006300,0.001400
20180613,-0.003300,0.001000,-0.001800,0.002300
20180614,0.002700,0.003200,-0.009900,-0.002500
20180615,-0.000800,0.000400,-0.002300,-0.008900
20180618,-0.000900,0.007300,0.000800,0.007200
20180619,-0.003800,0.005600,-0.001500,-0.006600
20180620,0.002300,0.007300,-0.005100,0.003100
20180621,-0.007300,-0.006200,0.003400,-0.003300
20180622,0.001100,0.000200,0.004500,-0.006300
20180625,-0.014800,-0.005500,0.005800,-0.011500
20180626,0.002700,0.006300,-0.002400,0.004500
20180627,-0.010200,-0.009700,0.003600,-0.003000
20180628,0.005800,-0.001700,-0.005000,0.004500
20180629,0.000700,-0.002000,-0.002400,0.000100
20180702,0.003600,0.004200,-0.002600,0.005500
20180703,-0.004400,0.008000,0.000200,-0.006500
20180705,0.008700,0.004400,-0.004600,-0.003300
20180706,0.008800,0.000600,-0.003200,0.000800
20180709,0.009300,-0.004100,0.008300,0.004600
20180710,0.002100,-0.007900,-0.001500,-0.001800
20180711,-0.006900,-0.000200,-0.004400,0.000100
20180712,0.008600,-0.003100,-0.011100,0.005600
20180713,0.000800,-0.001200,-0.002700,0.002000
20180716,-0.001600,-0.007900,0.009700,0.003900
20180717,0.004800,0.002400,-0.007600,0.003800
20180718,0.002700,-0.002700,0.006600,0.003900
20180719,-0.003400,0.009800,-0.003200,-0.001000
20180720,-0.001000,-0.001800,0.001100,0.002600
20180723,0.001500,-0.002900,0.005100,0.003800
20180724,0.002200,-0.013500,0.004000,-0.003600
20180725,0.008300,-0.004300,-0.010500,0.010900
20180726,-0.002000,0.006600,0.005800,-0.009800
20180727,-0.008200,-0.013600,0.011100,-0.013500
20180730,-0.007000,-0.002300,0.016000,-0.014200
20180731,0.005100,0.008300,-0.011000,0.000400
20180801,-0.001300,0.000700,-0.001800,0.010300
20180802,0.006700,0.003300,-0.006900,0.008400
20180803,0.003100,-0.010700,0.005300,-0.008100
20180806,0.004600,0.002500,-0.003400,0.003800
20180807,0.002900,0.000000,-0.001700,0.003300
20180808,-0.000400,-0.001400,0.002800,0.004100
20180809,-0.000500,0.003800,-0.004100,0.001100
20180810,-0.006000,0.004100,-0.001800,0.007100
20180813,-0.004600,-0.001500,-0.003000,0.000000
20180814,0.006900,0.002900,0.002500,0.004000
20180815,-0.009100,-0.005500,-0.001200,-0.010800
20180816,0.008600,-0.001300,0.003400,-0.003500
20180817,0.003000,0.000900,0.000100,-0.003200
20180820,0.002500,0.001300,0.001300,0.001300
20180821,0.003300,0.008900,0.001000,0.001400
20180822,0.000500,0.003700,-0.003500,0.009600
20180823,-0.001900,-0.000500,-0.003300,0.006300
20180824,0.006200,-0.000100,-0.005900,0.003100
20180827,0.007400,-0.006700,-0.001800,0.000300
20180828,-0.000100,-0.001300,-0.002300,0.002000
20180829,0.005600,-0.000400,-0.005800,0.004400
20180830,-0.004100,0.002800,-0.003700,0.003000
20180831,0.000800,0.004900,-0.004100,0.003100
20180904,-0.001100,-0.003700,-0.000100,0.007300
20180905,-0.004100,-0.001800,0.006900,-0.014700
20180906,-0.004400,-0.003500,-0.002400,0.000500
20180907,-0.001800,0.001000,-0.002500,-0.002300
20180910,0.002300,0.001000,-0.003600,-0.000400
20180911,0.003700,-0.002800,-0.002300,0.008400
20180912,0.000300,-0.000400,-0.002200,-0.008600
20180913,0.004500,-0.004200,-0.004400,0.001600
20180914,0.001200,0.002600,0.002400,-0.001200
20180917,-0.007100,-0.004500,0.008700,-0.012600
20180918,0.005700,0.000400,-0.004800,0.003000
20180919,0.000600,-0.006600,0.012600,-0.011400
20180920,0.007700,0.003000,-0.002400,-0.002000
20180921,-0.001300,-0.004200,0.003100,-0.003200
20180924,-0.003100,0.000400,-0.009000,0.013500
20180925,-0.000500,0.002800,-0.003800,0.012200
20180926,-0.004000,-0.003800,-0.006100,0.001000
20180927,0.002700,-0.002600,-0.005400,0.002100
20180928,-0.000300,0.004200,-0.002100,0.002900
